product_name,permit_number,permit_type,crop,target,purpose,dose,dose_unit,spray_volume,spray_volume_unit,bbch_min,bbch_max,treatment_time,phi,max_treatments,min_interval_days,expiry_date,latest_document,source_pdf,issue_reason
Sumi Alfa 5 EC,65412/1989,alapengedely,szőlő (bor- és csemege),amerikai szőlőkabóca,rovarölő szer,0.2-0.3,l/ha,,,55,79,fürtkezdemények növekedése állapottól a fürtzáródás végéig (BBCH 55-79),7,2,,2026-12-31,Sumi Alfa 5 EC mod_20260325.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348700330es348696486&documentName=Sumi+Alfa+5+EC+mod_20260325.pdf,missing small-use row recovered from latest permit point 4
Karate Zeon 5 CS,11769/2002,alapengedely,szőlő,szőlőmolyok,rovarölő szer,0.15-0.25,l/ha,800-1000,l/ha,78,78,fürtzáródás (BBCH 78),7,2,10,2028-12-31,Karate Zeon 5 CS_ mod_20250718_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347735145es347738488&documentName=Karate+Zeon+5+CS_+mod_20250718_publikus.pdf,missing grape row recovered from latest permit point 4 table
Karate Zeon 5 CS,11769/2002,alapengedely,szőlő,"foltosszárnyú muslica, amerikai szőlőkabóca",rovarölő szer,0.25,l/ha,800-1000,l/ha,78,78,fürtzáródás (BBCH 78),7,2,10,2028-12-31,Karate Zeon 5 CS_ mod_20250718_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=347735145es347738488&documentName=Karate+Zeon+5+CS_+mod_20250718_publikus.pdf,continuation row inherited crop and treatment fields from latest permit point 4 table
Mospilan 20 SG,04.2/2883-1/2011,alapengedely,szőlő anyatelep,"szőlő-gyökértetű levéllakó alakja, amerikai szőlőkabóca",rovarölő szer,0.25-0.375,kg/ha,400-800,l/ha,15,82,5-6 leveles állapot – érés (BBCH 15-82),,1,,2034-02-28,Mospilan 20 SG_mod_76068_3_20251124_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348233501es348148848&documentName=Mospilan+20+SG_mod_76068_3_20251124_publikus.pdf,missing grape nursery row recovered from latest permit point 4 table
Coragen 20 SC,02.5/1126/5/2008,alapengedely,"borszőlő, csemegeszőlő",szőlőmolyok,rovarölő szer,150-175,ml/ha,400-1200,l/ha,50,85,fürtkezdemények megjelenése – zsendülés (BBCH 50-85),30,1,,2028-05-31,Coragen 20 SC_mod_20260115_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348318246es348426202&documentName=Coragen+20+SC_mod_20260115_publikus.pdf,missing grape row recovered from latest permit point 4 table
Coragen 20 SC,02.5/1126/5/2008,alapengedely,"körte, birs, naspolya","almamoly, körtemoly, sodrómolyok",rovarölő szer,125-200,ml/ha,600-1000,l/ha,15,82,levélkiterülés – két héttel a betakarítás előtti állapot (BBCH 15-82),14,2,14,2028-05-31,Coragen 20 SC_mod_20260115_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348318246es348426202&documentName=Coragen+20+SC_mod_20260115_publikus.pdf,missing pome fruit continuation scope recovered from latest permit point 4 table
Coragen 20 SC,02.5/1126/5/2008,alapengedely,"körte, birs, naspolya",aknázómolyok,rovarölő szer,160-200,ml/ha,600-1000,l/ha,15,82,levélkiterülés – két héttel a betakarítás előtti állapot (BBCH 15-82),14,2,14,2028-05-31,Coragen 20 SC_mod_20260115_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348318246es348426202&documentName=Coragen+20+SC_mod_20260115_publikus.pdf,continuation row inherited crop and treatment fields from latest permit point 4 table
Coragen 20 SC,02.5/1126/5/2008,alapengedely,zeller,"bagolylepkék, köménymoly",rovarölő szer,125-150,ml/ha,300-600,l/ha,14,49,4 leveles állapot – gumónövekedés vége (BBCH 14-49),,1,,2028-05-31,Coragen 20 SC_mod_20260115_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348318246es348426202&documentName=Coragen+20+SC_mod_20260115_publikus.pdf,missing vegetable row recovered from latest permit point 4 table
Coragen 20 SC,02.5/1126/5/2008,alapengedely,petrezselyem,"bagolylepkék, köménymoly",rovarölő szer,125-150,ml/ha,300-600,l/ha,14,49,4 leveles állapot – gyökérnövekedés vége (BBCH 14-49),,1,,2028-05-31,Coragen 20 SC_mod_20260115_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348318246es348426202&documentName=Coragen+20+SC_mod_20260115_publikus.pdf,missing vegetable row recovered from latest permit point 4 table
Coragen 20 SC,02.5/1126/5/2008,alapengedely,közterület,"vadgesztenyelevél-aknázómoly, sodrómolyok, aknázómolyok, lombrágó hernyók",rovarölő szer,160-200,ml/ha,600-1200,l/ha,57,80,bimbós állapot – gyümölcsérés (BBCH 57-80),,2,14,2028-05-31,Coragen 20 SC_mod_20260115_publikus.pdf,https://novenyvedoszer.nebih.gov.hu/Engedelykereso/DocumentHandler.ashx?documentId=348318246es348426202&documentName=Coragen+20+SC_mod_20260115_publikus.pdf,missing public area row recovered from latest permit point 4 table
