web_scraper_order,web_scraper_start_url,pagination-selector,name,data,description,data2,data3,data4,data5,data6,image
"1769693586-1","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","BASF - Revyflex Start","package_2","10 ha/csomag: kalászosok","0,5 kg Aurios","2 x 0,5 l Saracen","","","5 l Dash HC","https://cdn.agromedium.com/uploads/2020/09/67c9c5c70014019edcec/thumbnail.jpg"
"1769693586-2","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Caramba Turbo","check_circle","210 g/l mepiquat-klorid, 30 g/l metkonazol","Alapengedély","gombaölő és növekedés szabályozó szer","2029. febr. 28.","","","https://cdn.agromedium.com/uploads/2020/09/67c9c5c70014019edcec/thumbnail.jpg"
"1769693586-3","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/06/6847e89a00115b091f3c/file.png"
"1769693586-4","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","480 solo extra","check_circle","480 g/l dikamba","2027. febr. 28.","gyomirtó szer","2027. febr. 28.","","","https://cdn.agromedium.com/uploads/2018/08/67c9c5bf000cfc1dad7b/thumbnail.jpg"
"1769693586-5","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","480-Solo","check_circle","480 g/l dikamba","2028. márc. 31.","gyomirtó szer","2028. márc. 31.","","","https://cdn.agromedium.com/uploads/2023/06/67c9c76b00192846003c/thumbnail.png"
"1769693586-6","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Abamect SC","error","18 g/l abamektin","2023. aug. 31.","rovarölő szer","","2023. aug. 31.","","https://cdn.agromedium.com/uploads/2019/03/67c9c5c60007ec5337c9/thumbnail.png"
"1769693586-7","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Account ULV","check_circle","6 g/l deltametrin, 54 g/l piperonil butoxid","2027. aug. 15.","rovarölő szer","2027. aug. 15.","","","https://cdn.agromedium.com/uploads/2019/04/67c9c6f3002ce784082b/thumbnail.png"
"1769693586-8","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Accurate","check_circle","200 g/kg metszulfuron-metil","2029. márc. 31.","gyomirtó szer","2029. márc. 31.","","counter_1","https://cdn.agromedium.com/uploads/2019/12/67c9c5e00038baa08a17/thumbnail.jpg"
"1769693586-9","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2026/01/697082e3000e0b656054/file.png"
"1769693586-10","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Aceptir 200 SE","check_circle","200 g/l acetamiprid","2034. febr. 28.","rovarölő szer","2034. febr. 28.","","","https://cdn.agromedium.com/uploads/2019/04/67c9c6f3002ce784082b/thumbnail.png"
"1769693586-11","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Aceptorro 200 SE","check_circle","200 g/l acetamiprid","2034. febr. 28.","rovarölő szer","2034. febr. 28.","","","https://cdn.agromedium.com/uploads/2024/03/67c9c5be001da30ef4a5/thumbnail.png"
"1769693586-12","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Acetogal","check_circle","200 g/kg acetamiprid","2034. febr. 28.","rovarölő szer","2034. febr. 28.","","",""
"1769693586-13","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Acrobat MZ WG","error","90 g/kg dimetomorf, 600 g/kg mankoceb","2021. júl. 4.","gombaölő szer","","2021. júl. 4.","","https://cdn.agromedium.com/uploads/2020/09/67c9c5c70014019edcec/thumbnail.jpg"
"1769693586-14","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","Actara SC","error","240 g/l tiametoxam","2020. ápr. 30.","rovarölő szer","","2020. ápr. 30.","","https://cdn.agromedium.com/uploads/2019/03/67c9c5c60007ec5337c9/thumbnail.png"
"1769693586-15","https://www.agromedium.com/hu-hu/novenyvedo-szerek","","","","","","","","","","https://cdn.agromedium.com/uploads/2025/11/690db9bd0030b9dd184f/file.png"
