weed_latin,weed_hungarian,group_type,main_crop,notes
Galium aparine,ragadós galaj,broadleaf,kalaszos,
Stellaria media,tyúkhúr,broadleaf,kalaszos,
Veronica hederifolia,veronika,broadleaf,kalaszos,
Viola arvensis,mezei árvácska,broadleaf,kalaszos,
Matricaria chamomilla,kamilla,broadleaf,kalaszos,
Echinochloa crus-galli,kakaslábfű,grass,kukorica,
Setaria viridis,muhar,grass,kukorica,
Chenopodium album,fehér libatop,broadleaf,kukorica,
Amaranthus retroflexus,disznóparéj,broadleaf,kukorica,
Abutilon theophrasti,selyemmályva,broadleaf,kukorica,
Apera spica-venti,széltippan,grass,kalaszos,
Alopecurus myosuroides,egérfarkú ecsetpázsit,grass,kalaszos,
Bromus sterilis,meddő rozsnok,grass,kalaszos,
Bromus tectorum,fedél rozsnok,grass,kalaszos,
Galium aparine,ragadós galaj,broadleaf,kalaszos,
Stellaria media,tyúkhúr,broadleaf,kalaszos,
Veronica hederifolia,bodroslevelű veronika,broadleaf,kalaszos,
Veronica persica,perzsa veronika,broadleaf,kalaszos,
Viola arvensis,mezei árvácska,broadleaf,kalaszos,
Capsella bursa-pastoris,pásztortáska,broadleaf,kalaszos,
Papaver rhoeas,vad mák,broadleaf,kalaszos,
Matricaria chamomilla,orvosi székfű,broadleaf,kalaszos,
Matricaria inodora,ebszékfű,broadleaf,kalaszos,
Tripleurospermum inodorum,ebszékfű,broadleaf,kalaszos,
Lamium purpureum,bíbor árvacsalán,broadleaf,kalaszos,
Lamium amplexicaule,piros árvacsalán,broadleaf,kalaszos,
Sinapis arvensis,vadrepce,broadleaf,kalaszos,
Descurainia sophia,seprence,broadleaf,kalaszos,
Anthemis arvensis,pipitér,broadleaf,kalaszos,
Consolida regalis,vetési szarkaláb,broadleaf,kalaszos,
Centaurea cyanus,búzavirág,broadleaf,kalaszos,
Aphanes arvensis,mezei ködmönke,broadleaf,kalaszos,
Fumaria officinalis,orvosi föstike,broadleaf,kalaszos,
Myosotis arvensis,mezei nefelejcs,broadleaf,kalaszos,
Thlaspi arvense,mezei tarsóka,broadleaf,kalaszos,
Echinochloa crus-galli,kakaslábfű,grass,kukorica,
Setaria viridis,zöld muhar,grass,kukorica,
Setaria pumila,ragadós muhar,grass,kukorica,
Setaria faberi,óriás muhar,grass,kukorica,
Panicum miliaceum,köles,grass,kukorica,
Digitaria sanguinalis,ujjasmuhar,grass,kukorica,
Sorghum halepense,fenyércirok,grass,kukorica,évelő
Chenopodium album,fehér libatop,broadleaf,kukorica,
Chenopodium hybridum,nehézszagú libatop,broadleaf,kukorica,
Amaranthus retroflexus,szőrös disznóparéj,broadleaf,kukorica,
Amaranthus powellii, Powell-disznóparéj,broadleaf,kukorica,
Amaranthus blitoides,terülő disznóparéj,broadleaf,kukorica,
Ambrosia artemisiifolia,parlagfű,broadleaf,kukorica,
Abutilon theophrasti,selyemmályva,broadleaf,kukorica,
Datura stramonium,csattanó maszlag,broadleaf,kukorica,
Xanthium strumarium,szerbtövis,broadleaf,kukorica,
Polygonum aviculare,porcsin keserűfű,broadleaf,kukorica,
Fallopia convolvulus,szulákkeserűfű,broadleaf,kukorica,
Persicaria lapathifolia,lapulevelű keserűfű,broadleaf,kukorica,
Persicaria maculosa,baracklevelű keserűfű,broadleaf,kukorica,
Hibiscus trionum,varjúmák,broadleaf,kukorica,
Solanum nigrum,fekete csucsor,broadleaf,kukorica,
Cirsium arvense,mezei acat,broadleaf,kukorica,évelő
Convolvulus arvensis,apró szulák,broadleaf,kukorica,évelő
Portulaca oleracea,kövér porcsin,broadleaf,kukorica,
